@ HyperIMU -ianovir - 2018
@ Date:Tue Mar 20 17:14:29 PDT 2018, Sampling Time:20ms

BMI160_accelerometer.x,BMI160_accelerometer.y,BMI160_accelerometer.z,BMI160_gyroscope.x,BMI160_gyroscope.y,BMI160_gyroscope.z,AK09915_magnetometer.x,AK09915_magnetometer.y,AK09915_magnetometer.z
-0.009580079,0.3161426,9.718989,0.005369383,-0.009546028,0.0015616319,25.2,-5.55,-38.550003
-0.038320314,0.39278322,9.7621,-0.0020874683,-0.001023913,-3.6264824E-5,24.45,-4.65,-38.850002
0.033530276,0.364043,9.699829,0.0048367507,0.0032371448,-0.0058952193,24.45,-5.55,-38.850002
0.009580079,0.364043,9.718989,0.0021735895,0.0027045126,-0.0016341615,24.150002,-4.65,-40.050003
-0.047900394,0.364043,9.69504,-0.004217997,-0.0074154995,-0.0016341615,25.35,-6.15,-39.15
-0.023950197,0.3784131,9.671089,0.0016409573,-0.0020891775,-5.6889706E-4,24.150002,-5.25,-38.100002
-0.009580079,0.3544629,9.642349,4.3060576E-5,-0.0020891775,-0.0037646904,24.6,-4.05,-39.45
0.014370117,0.3784131,9.704619,-0.0026201005,0.0027045126,-0.0021667937,24.150002,-4.9500003,-38.850002
-0.047900394,0.34488282,9.642349,-0.0047506294,-0.003154442,-0.0058952193,24.300001,-4.8,-37.5
0.0,0.39757326,9.72378,0.0011083251,0.0011066159,-0.0021667937,23.85,-5.55,-37.65
0.009580079,0.43110353,9.6758795,0.0021735895,0.004302409,0.0015616319,24.150002,-4.9500003,-38.850002
0.038320314,0.34009278,9.718989,-0.001554836,-0.0036870742,-0.0011015292,24.6,-5.1000004,-38.25
-0.009580079,0.34488282,9.699829,0.005369383,-0.003154442,-3.6264824E-5,24.300001,-5.4,-38.7
0.014370117,0.31135255,9.7142,-0.0031527327,0.0053676735,-3.6264824E-5,25.650002,-5.8500004,-39.15
0.05748047,0.37362307,9.70941,-0.003685365,0.0027045126,0.0026268964,24.750002,-6.0,-39.75
-0.0047900393,0.39757326,9.666299,-0.005815894,-0.006882868,0.0015616319,25.2,-5.55,-38.550003
-0.009580079,0.39278322,9.69504,0.005902015,0.0032371448,-0.0042973226,24.0,-4.8,-39.9
0.014370117,0.34488282,9.623189,5.756928E-4,-4.9128087E-4,-0.007493116,24.300001,-5.4,-37.95
0.014370117,0.31135255,9.699829,0.005902015,0.0021718803,0.0020942641,24.300001,-5.8500004,-39.9
-0.019160157,0.364043,9.704619,-0.0031527327,0.006432938,-3.6264824E-5,25.35,-4.8,-39.9
-0.05269043,0.36883304,9.651929,4.3060576E-5,0.0021718803,0.0010289997,25.35,-4.8,-38.7
-0.028740235,0.3544629,9.699829,0.0075306576,-9.896855E-4,-5.7395035E-4,24.150002,-5.25,-38.550003
0.0,0.39757326,9.637559,6.064385E-4,-0.0015223178,-5.7395035E-4,24.45,-4.9500003,-38.550003
-0.009580079,0.37362307,9.7621,-0.002589355,6.082111E-4,-5.7395035E-4,25.2,-7.05,-38.100002
0.014370117,0.3305127,9.699829,-0.0047198837,-0.004185479,0.0010239463,24.750002,-4.2000003,-39.75
0.06227051,0.39757326,9.69504,0.0038022317,-0.00205495,-0.0032371115,24.750002,-4.9500003,-39.75
-0.014370117,0.32572266,9.699829,0.005932761,-0.0052507436,0.0010239463,23.400002,-4.9500003,-38.850002
0.033530276,0.4023633,9.733359,-0.0031219872,-0.0015223178,0.0015565786,25.95,-5.8500004,-38.25
0.038320314,0.35925296,9.623189,-0.0020567228,0.005401901,-0.0053676404,25.35,-6.15,-38.25
-0.05748047,0.27303225,9.75731,0.002204335,0.00753243,0.0015565786,25.800001,-4.65,-38.100002
0.043110352,0.41194338,9.704619,0.010193818,0.0022061078,0.0084807975,25.650002,-6.15,-39.15
-0.009580079,0.34009278,9.72857,-4.58826E-4,6.082111E-4,-0.0016392148,24.45,-5.25,-38.550003
0.038320314,0.34967285,9.68067,0.0027369673,0.0022061078,0.0031544752,26.1,-6.3,-39.75
0.038320314,0.33530274,9.6615095,-0.005785148,-9.896855E-4,4.913141E-4,24.150002,-4.65,-38.850002
0.028740235,0.38320315,9.685459,0.002204335,0.0016734756,0.0015565786,24.0,-5.1000004,-37.95
-0.05269043,0.34967285,9.73815,0.0032695995,-0.00205495,4.913141E-4,24.750002,-5.55,-39.300003
0.038320314,0.3544629,9.72378,6.064385E-4,6.082111E-4,0.0020892108,24.750002,-4.65,-39.300003
-0.028740235,0.39757326,9.733359,0.0075306576,-9.896855E-4,-0.0032371115,22.95,-5.4,-38.7
-0.043110352,0.43589357,9.699829,0.0032695995,0.0016734756,-5.7395035E-4,24.900002,-5.1000004,-39.45
-0.028740235,0.45026368,9.699829,-0.002589355,-0.006316008,0.0031544752,24.900002,-5.1000004,-39.15
0.05269043,0.30177248,9.656719,-9.914582E-4,7.5578864E-5,0.0015565786,24.45,-4.2000003,-38.550003
0.014370117,0.4263135,9.7142,6.064385E-4,-9.896855E-4,-0.0032371115,24.300001,-4.8,-39.45
0.038320314,0.40715334,9.690249,0.0048674964,0.0038040045,-5.7395035E-4,25.35,-5.1000004,-37.95
0.038320314,0.33530274,9.671089,0.008063289,-4.5705336E-4,-5.7395035E-4,25.500002,-6.3,-38.850002
0.019160157,0.34009278,9.685459,0.0027415466,-4.5195565E-4,0.010610574,25.650002,-4.5,-38.7
-0.023950197,0.4263135,9.627979,-0.010041626,-0.0015172202,-0.0037704962,25.500002,-5.25,-38.100002
0.05748047,0.33530274,9.72857,0.0022089144,0.0016785732,0.0010231937,25.95,-5.8500004,-37.5
0.0,0.34488282,9.699829,0.001676282,-4.5195565E-4,-5.74703E-4,25.2,-5.25,-38.550003
0.033530276,0.33530274,9.666299,-0.0036500401,6.133088E-4,-0.0101620825,24.750002,-5.55,-38.850002
-0.05748047,0.4263135,9.6615095,0.0032741788,0.0022112054,-5.74703E-4,24.45,-4.2000003,-38.850002
0.038320314,0.3784131,9.72857,0.0011436498,-0.003647749,0.0015558259,24.0,-5.1000004,-39.15
0.0047900393,0.3544629,9.68067,0.0011436498,-0.0020498524,0.0010231937,24.6,-5.8500004,-37.95
-0.0047900393,0.3305127,9.72857,-4.5424682E-4,8.0676575E-5,0.0026210905,24.900002,-5.4,-39.9
0.009580079,0.34009278,9.613608,6.1101763E-4,0.001145941,-0.005368393,24.150002,-5.25,-40.050003
0.0,0.33530274,9.64714,0.003806811,0.0016785732,4.905615E-4,24.6,-4.5,-37.95
-0.043110352,0.34009278,9.72857,-0.0025847757,-0.0025824846,-4.207074E-5,26.550001,-5.55,-38.100002
0.019160157,0.3161426,9.651929,0.009665766,-0.0031151169,-0.0011073352,25.35,-6.7500005,-39.15
-0.019160157,0.35925296,9.69504,-9.868791E-4,-4.5195565E-4,-0.0043031285,24.750002,-5.25,-39.300003
-0.014370117,0.38320315,9.77647,6.1101763E-4,6.133088E-4,0.0020884583,25.35,-5.8500004,-39.45
0.0047900393,0.3544629,9.74294,-0.0041826726,-0.0025824846,0.004218987,24.45,-7.3500004,-38.100002
-0.033530276,0.43110353,9.74294,-4.5424682E-4,0.0016785732,0.0020884583,24.900002,-5.4,-39.45
-0.0047900393,0.36883304,9.666299,-0.0036500401,-0.00631091,-5.74703E-4,24.6,-6.15,-38.25
